 Label,Event ID,Service Name,Service File Name,Service Type,Service Start Type,Service Account,Data Service Name,Timestamp,ID
benign,7045,WSearch,C:\Windows\System32\SearchIndexer.exe,Own Process,Auto Start,LocalSystem,WindowsSearch,2024-09-02T08:41:19.219Z,41f59d6e-82a5-4753-9b0e-e5a86a411eY
benign,7045,BackupService,C:\Program Files\Microsoft Backup\backup.exe,Own Process,Auto Start,NT AUTHORITY\SYSTEM,WindowsBackup,2024-03-22T10:47:13.219Z,4a6b4e3f-1167-42a4-8a4f-7382f4e5bc23Y
benign,7045,NetmanService,C:\Windows\System32\netman.dll,Shared Process,Demand Start,NT AUTHORITY\LocalService,WindowsUpdate,2024-09-02T08:45:12.192Z,43a2f8a1-4c2d-4935-8fbc-5c382b1dY
benign,7045,MSExchangeService,C:\Program Files\Microsoft\Exchange Server\V15\Bin\MSExchangeService.exe,Own Process,Auto Start,NT AUTHORITY\SYSTEM,Windows Defender,2024-08-22T08:47:12.192Z,8f53c19e-43b7-4f8c-bf5e-39b6a89dY
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-03-22T11:47:13.219Z,43f7aeb9-4c12-4123-abc1-1234567890Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\NetworkService,Windows Defender,2024-08-20T08:45:12.219Z,4d6d8a5e-2b71-4a34-ba93-5f4a68f1Y
benign,7045,VMwareTools,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,Own Process,Auto Start,LocalSystem,Windows Update,2024-08-22T08:45:12.219Z,4c251b83-6f2a-4123-9b85-43asrwq8Y
benign,7045,Netman,C:\Windows\System32\svchost.exe,Share Process,Auto Start,NT AUTHORITY\LocalService,Windows Defender Service,2024-02-22T11:45:13.219Z,4c421e3f-23cd-49b5-8d25-34a103c2Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-02T08:45:12.219Z,43a6d951-2198-4123-bc9d-85f6b4a7c1Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-02-22T08:47:13.492Z,44c7b9a3-417b-4b98-b2a8-51d723d9Y
benign,7045,NetworkService,C:\Windows\System32\svchost.exe,Share Process,Demand Start,NT AUTHORITY\NetworkService,WindowsUpdate,2024-09-02T08:41:19.421Z,4a213d9f-234a-49c3-8e8b-0c4c21e7Y
